#version: ccfinder 7.3.2
#format: classwise
#langspec: JAVA
#option: -b 30
#option: -e char
#option: -k 30
#option: -r abcdfikmnoprsuv
#option: -c wfg
#option: -y 
#begin{file description}
0.1	550,5,1411	554,29,1462	21
0.1	555,2,1466	559,31,1517	0
0.1	561,2,1538	565,35,1589	10
0.1	562,2,1549	566,44,1600	6
#end{set}
#begin{set}
0.1	550,5,1411	555,30,1473	21
0.1	551,2,1422	556,33,1484	10
0.1	552,2,1433	557,29,1495	0
0.1	553,2,1444	558,33,1506	0
0.1	554,2,1455	559,31,1517	0
0.1	561,2,1538	566,44,1600	10
#end{set}
#begin{set}
0.1	550,5,1411	556,33,1484	21
0.1	553,2,1444	559,31,1517	0
#end{set}
#begin{set}
0.1	550,5,1411	557,29,1495	21
0.1	552,2,1433	559,31,1517	0
#end{set}
#begin{set}
0.1	550,5,1411	558,33,1506	21
0.1	551,2,1422	559,31,1517	10
#end{set}
#begin{set}
0.1	674,5,1965	687,6,2006	39
0.1	690,5,2009	703,6,2050	39
#end{set}
#begin{set}
0.1	714,5,2064	726,35,2116	40
0.1	732,5,2139	744,35,2191	0
#end{set}
#begin{set}
0.1	714,5,2064	732,34,2141	40
0.1	726,5,2114	744,35,2191	0
#end{set}
#begin{set}
0.1	714,5,2064	738,34,2166	40
0.1	720,5,2089	744,35,2191	20
#end{set}
#begin{set}
0.1	755,13,2216	762,40,2247	26
0.1	836,13,2530	843,38,2561	26
#end{set}
#begin{set}
0.1	769,13,2249	777,4,2281	27
0.1	783,13,2282	791,4,2314	27
#end{set}
#begin{set}
0.1	801,5,2322	810,6,2388	58
0.1	819,2,2431	828,3,2497	58
#end{set}
#begin{set}
0.1	829,2,2498	829,190,2528	26
0.1	1340,5,4276	1340,193,4306	26
#end{set}
#begin{set}
0.1	855,5,2579	865,40,2633	42
0.1	867,5,2633	877,38,2687	0
#end{set}
#begin{set}
0.1	855,5,2579	871,39,2660	42
0.1	861,5,2606	877,38,2687	21
#end{set}
#begin{set}
0.1	886,5,2696	896,26,2727	29
0.1	1357,7,4341	1367,28,4372	29
#end{set}
#begin{set}
0.1	886,5,2696	900,92,2744	42
0.1	1673,7,5646	1687,94,5694	42
#end{set}
#begin{set}
0.1	1067,2,3270	1071,3,3300	24
0.1	1077,2,3312	1081,3,3342	24
#end{set}
#begin{set}
0.1	1191,3,3643	1198,7,3693	43
0.1	1198,8,3693	1204,7,3743	43
#end{set}
#begin{set}
0.1	1231,9,3803	1245,23,3865	59
0.1	1265,3,3917	1279,17,3979	61
#end{set}
#begin{set}
0.1	1231,9,3803	1245,75,3872	66
0.1	1313,9,4142	1326,85,4211	68
#end{set}
#begin{set}
0.1	1258,5,3885	1279,17,3979	90
0.1	1306,5,4110	1326,27,4204	90
#end{set}
#begin{set}
0.1	1355,5,4329	1367,28,4372	40
0.1	1671,5,5634	1683,28,5677	40
#end{set}
#begin{set}
0.1	1356,5,4340	1366,4,4370	28
0.1	1672,5,5645	1682,4,5675	28
0.1	2291,3,7298	2301,5,7328	28
#end{set}
#begin{set}
0.1	1474,7,4813	1488,8,4853	38
0.1	1636,7,5551	1650,8,5591	38
0.1	1651,12,5592	1665,8,5632	38
#end{set}
#begin{set}
0.1	1474,7,4813	1501,28,4879	64
0.1	1636,7,5551	1661,28,5617	64
#end{set}
#begin{set}
0.1	1508,9,4905	1514,35,4941	33
0.1	1532,9,4990	1538,26,5026	33
#end{set}
#begin{set}
0.1	1543,13,5030	1545,128,5069	34
0.1	1552,13,5126	1554,134,5165	34
0.1	1558,4,5208	1560,133,5247	34
#end{set}
#begin{set}
0.1	1543,13,5030	1546,15,5071	36
0.1	1552,13,5126	1555,9,5167	36
0.1	1555,4,5167	1558,8,5208	36
#end{set}
#begin{set}
0.1	1552,13,5126	1557,149,5206	70
0.1	1555,4,5167	1560,133,5247	70
#end{set}
#begin{set}
0.1	1594,13,5425	1601,12,5456	8
0.1	1909,5,6339	1915,4,6370	6
#end{set}
#begin{set}
0.1	1695,5,5701	1702,6,5731	28
0.1	1707,5,5732	1714,6,5762	28
#end{set}
#begin{set}
0.1	2084,10,6719	2096,6,6753	32
0.1	2172,13,6974	2184,6,7008	32
#end{set}
#begin{set}
0.1	2149,9,6911	2159,8,6947	34
0.1	2154,9,6929	2164,8,6965	16
#end{set}
#begin{set}
0.1	2212,3,7059	2218,20,7092	29
0.1	2227,4,7121	2233,17,7154	29
0.1	2231,4,7144	2237,19,7177	19
0.1	2235,4,7167	2241,18,7200	0
0.13	147,4,204	148,55,237	29
0.13	148,4,227	149,72,260	19
0.13	166,4,402	167,45,435	29
0.13	167,4,425	168,57,458	18
0.13	168,4,448	169,55,481	0
0.14	158,4,220	159,55,253	29
0.14	159,4,243	160,72,276	19
0.14	162,4,291	163,64,324	29
0.14	163,4,314	164,53,347	19
0.14	164,4,337	165,51,370	0
0.14	165,4,360	166,62,393	0
#end{set}
#begin{set}
0.1	2227,4,7121	2235,8,7169	39
0.1	2235,4,7167	2243,8,7215	0
0.13	147,4,204	149,8,252	39
0.13	166,4,402	168,8,450	38
0.14	158,4,220	160,8,268	39
0.14	162,4,291	164,8,339	39
#end{set}
#begin{set}
0.1	2227,4,7121	2239,8,7192	39
0.1	2231,4,7144	2243,8,7215	19
0.13	147,4,204	150,8,275	39
0.13	166,4,402	169,8,473	38
0.14	162,4,291	165,8,362	39
#end{set}
#begin{set}
0.1	2395,2,7465	2402,21,7497	7
0.1	2403,2,7497	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2403,19,7501	7
0.1	2402,2,7493	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2404,23,7505	7
0.1	2401,2,7489	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2405,21,7509	7
0.1	2400,2,7485	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2406,23,7513	7
0.1	2399,2,7481	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2407,24,7517	7
0.1	2398,2,7477	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2408,20,7521	7
0.1	2397,2,7473	2410,22,7529	0
#end{set}
#begin{set}
0.1	2395,2,7465	2409,23,7525	7
0.1	2396,2,7469	2410,22,7529	3
#end{set}
#begin{set}
0.1	2428,9,7570	2439,10,7632	58
0.1	2438,14,7621	2449,10,7683	58
#end{set}
#begin{set}
0.1	2428,9,7570	2442,34,7647	73
0.1	2460,14,7717	2474,33,7794	63
#end{set}
#begin{set}
0.1	2438,9,7620	2449,10,7683	59
0.1	2460,9,7716	2471,10,7779	48
#end{set}
#begin{set}
0.1	2448,9,7671	2457,4,7713	26
0.1	2452,9,7686	2461,10,7728	12
#end{set}
#begin{set}
0.1	2504,5,7872	2509,72,7902	7
0.1	2513,5,7912	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2510,70,7907	7
0.1	2512,5,7907	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2512,28,7912	7
0.1	2510,2,7902	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2513,63,7917	7
0.1	2509,5,7897	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2514,77,7922	7
0.1	2508,5,7892	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2515,136,7927	7
0.1	2507,5,7887	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2516,128,7932	7
0.1	2506,5,7882	2518,65,7942	0
#end{set}
#begin{set}
0.1	2504,5,7872	2517,28,7937	7
0.1	2505,5,7877	2518,65,7942	2
#end{set}
#begin{set}
0.1	1566,5,5281	1571,10,5312	30
0.5	204,5,365	211,7,396	30
#end{set}
#begin{set}
0.1	635,5,1833	642,19,1864	19
0.6	233,5,474	239,26,505	17
0.6	237,5,493	243,14,524	7
#end{set}
#begin{set}
0.1	635,5,1833	642,23,1867	19
0.6	237,5,493	243,23,527	7
#end{set}
#begin{set}
0.1	1377,11,4402	1385,17,4450	44
0.6	516,7,1377	524,13,1425	44
#end{set}
#begin{set}
0.1	2212,3,7059	2217,4,7090	27
0.1	2227,4,7121	2232,5,7152	27
0.13	147,4,204	148,51,235	27
0.13	149,4,250	150,53,281	0
0.13	166,4,402	167,41,433	27
0.14	158,4,220	159,51,251	27
0.14	162,4,291	163,60,322	27
#end{set}
#begin{set}
0.1	2227,4,7121	2234,5,7167	39
0.13	147,4,204	149,6,250	39
0.13	166,4,402	168,6,448	38
0.13	168,4,448	170,12,494	0
0.14	158,4,220	160,6,266	39
0.14	159,4,243	161,18,289	19
0.14	162,4,291	164,6,337	39
#end{set}
#begin{set}
0.1	2227,4,7121	2236,5,7175	39
0.13	147,4,204	149,68,258	39
0.13	148,4,227	150,53,281	19
0.13	166,4,402	168,53,456	38
0.14	158,4,220	160,68,274	39
0.14	162,4,291	164,49,345	39
#end{set}
#begin{set}
0.1	2227,4,7121	2238,5,7190	39
0.1	2231,4,7144	2242,5,7213	19
0.13	147,4,204	150,6,273	39
0.13	166,4,402	169,6,471	38
0.13	167,4,425	170,12,494	18
0.14	158,4,220	161,18,289	39
0.14	162,4,291	165,6,360	39
0.14	163,4,314	166,6,383	19
#end{set}
#begin{set}
0.1	2227,4,7121	2240,5,7198	39
0.13	147,4,204	150,53,281	39
0.13	166,4,402	169,51,479	38
0.14	162,4,291	165,47,368	39
0.14	163,4,314	166,58,391	19
#end{set}
#begin{set}
0.1	2227,4,7121	2242,5,7213	39
0.13	166,4,402	170,12,494	38
0.14	162,4,291	166,6,383	39
#end{set}
#begin{set}
0.1	2212,3,7059	2218,24,7094	31
0.14	165,4,360	166,69,395	2
#end{set}
#begin{set}
0.1	2227,4,7121	2237,19,7177	39
0.13	147,4,204	149,72,260	39
0.13	166,4,402	168,57,458	38
0.14	158,4,220	160,72,276	39
0.14	162,4,291	164,53,347	39
0.14	164,4,337	166,62,393	0
#end{set}
#begin{set}
0.1	2227,4,7121	2241,18,7200	39
0.13	166,4,402	169,55,481	38
0.14	162,4,291	165,51,370	39
0.14	163,4,314	166,62,393	19
#end{set}
#begin{set}
0.1	2227,4,7121	2243,8,7215	39
0.14	162,4,291	166,8,385	39
#end{set}
#begin{set}
0.2	90,12,122	114,9,211	73
0.2	208,12,479	232,9,568	73
#end{set}
#begin{set}
0.2	136,6,298	181,4,433	123
0.2	256,6,681	301,4,816	121
#end{set}
#begin{set}
0.2	232,5,566	237,6,596	27
0.2	244,10,628	249,6,658	27
#end{set}
#begin{set}
0.2	232,5,566	243,6,627	55
0.2	238,10,597	249,6,658	55
#end{set}
#begin{set}
0.4	76,13,74	94,16,133	55
0.16	258,4,438	274,41,497	55
#end{set}
#begin{set}
0.6	179,5,264	187,64,306	25
0.6	200,5,348	210,63,390	0
#end{set}
#begin{set}
0.6	179,5,264	190,64,320	25
0.6	195,5,334	210,63,390	0
#end{set}
#begin{set}
0.6	179,5,264	194,65,334	25
0.6	192,5,320	210,63,390	0
#end{set}
#begin{set}
0.6	179,5,264	198,67,348	25
0.6	188,5,306	210,63,390	0
#end{set}
#begin{set}
0.6	179,5,264	202,62,362	25
0.6	185,5,292	210,63,390	0
#end{set}
#begin{set}
0.6	179,5,264	205,63,376	25
0.6	182,5,278	210,63,390	11
#end{set}
#begin{set}
0.6	298,9,673	302,13,712	33
0.6	302,14,713	306,8,752	0
#end{set}
#begin{set}
0.6	298,9,673	304,13,732	33
0.6	300,14,693	306,8,752	16
#end{set}
#begin{set}
0.6	341,7,873	347,35,905	7
0.6	347,7,903	353,35,935	0
#end{set}
#begin{set}
0.6	341,7,873	348,35,910	7
0.6	346,7,898	353,35,935	0
#end{set}
#begin{set}
0.6	341,7,873	349,35,915	7
0.6	345,7,893	353,35,935	0
#end{set}
#begin{set}
0.6	341,7,873	350,35,920	7
0.6	344,7,888	353,35,935	0
#end{set}
#begin{set}
0.6	341,7,873	351,35,925	7
0.6	343,7,883	353,35,935	0
#end{set}
#begin{set}
0.6	341,7,873	352,35,930	7
0.6	342,7,878	353,35,935	2
#end{set}
#begin{set}
0.6	513,5,1363	519,47,1399	34
0.6	551,5,1575	557,47,1611	34
#end{set}
#begin{set}
0.6	578,7,1715	583,20,1756	27
0.6	580,5,1730	585,24,1771	13
#end{set}
#begin{set}
0.6	586,5,1774	596,11,1816	39
0.6	604,5,1852	614,11,1894	39
#end{set}
#begin{set}
0.6	627,5,1935	630,7,1974	23
0.6	628,5,1948	632,8,1987	11
#end{set}
#begin{set}
0.6	695,11,2156	706,30,2191	34
0.6	713,11,2215	724,30,2250	34
0.6	731,11,2274	742,30,2309	34
0.6	749,11,2333	760,30,2368	34
#end{set}
#begin{set}
0.6	695,11,2156	710,6,2212	54
0.6	713,11,2215	728,6,2271	54
#end{set}
#begin{set}
0.6	775,5,2424	782,4,2454	19
0.6	821,5,2610	828,4,2640	24
#end{set}
#begin{set}
0.6	784,11,2455	791,34,2487	28
0.6	807,11,2548	814,34,2580	28
0.6	830,11,2641	838,34,2673	28
#end{set}
#begin{set}
0.6	784,11,2455	794,36,2502	38
0.6	807,11,2548	817,26,2595	38
#end{set}
#begin{set}
0.6	790,5,2477	796,26,2512	19
0.6	794,5,2497	800,26,2532	7
#end{set}
#begin{set}
0.6	792,5,2487	799,28,2524	12
0.6	817,5,2590	825,24,2627	21
#end{set}
#begin{set}
0.6	798,5,2517	805,4,2547	12
0.6	848,5,2703	855,4,2733	12
#end{set}
#begin{set}
0.6	836,5,2658	842,35,2688	24
0.6	840,5,2673	846,35,2703	12
#end{set}
#begin{set}
0.6	945,46,2929	951,47,2968	38
0.24	50,29,68	56,35,107	38
#end{set}
#begin{set}
0.7	43,8,14	74,3,78	41
0.8	42,8,14	73,3,78	41
#end{set}
#begin{set}
0.7	85,9,91	101,3,140	46
0.8	84,9,91	100,3,140	46
#end{set}
#begin{set}
0.7	103,9,141	113,3,190	48
0.8	102,9,141	112,3,190	48
#end{set}
#begin{set}
0.7	120,9,202	160,3,336	118
0.8	119,9,202	159,3,336	118
#end{set}
#begin{set}
0.7	192,9,406	199,3,444	31
0.8	191,9,406	198,3,444	31
#end{set}
#begin{set}
0.13	141,3,165	146,54,204	36
0.13	212,3,678	217,54,717	36
0.14	152,3,181	157,54,220	36
0.14	200,3,660	205,54,699	36
#end{set}
#begin{set}
0.13	172,4,496	173,64,528	30
0.13	175,4,550	176,65,582	0
0.14	169,4,421	170,64,453	30
#end{set}
#begin{set}
0.13	172,4,496	174,62,546	33
0.13	174,4,532	176,65,582	0
0.14	169,4,421	171,62,471	30
#end{set}
#begin{set}
0.13	172,4,496	175,60,564	33
0.13	173,4,514	176,65,582	16
0.14	169,4,421	172,60,489	30
#end{set}
#begin{set}
0.13	49,13,25	66,33,61	4
0.14	44,12,16	62,32,52	7
0.22	71,10,32	88,39,68	4
#end{set}
#begin{set}
0.13	140,13,160	150,6,273	80
0.14	151,13,176	161,18,289	80
#end{set}
#begin{set}
0.13	167,4,425	172,45,506	29
0.14	158,4,220	162,64,301	50
#end{set}
#begin{set}
0.13	172,4,496	174,41,540	33
0.14	169,4,421	171,41,465	30
0.14	171,4,457	173,46,501	0
#end{set}
#begin{set}
0.13	172,4,496	175,39,558	33
0.14	169,4,421	172,39,483	30
0.14	170,4,439	173,46,501	13
#end{set}
#begin{set}
0.13	172,4,496	176,44,576	33
0.14	169,4,421	173,46,501	30
#end{set}
#begin{set}
0.13	176,4,568	188,5,647	55
0.14	174,4,513	186,5,592	68
#end{set}
#begin{set}
0.13	211,13,673	217,54,717	41
0.14	199,13,655	205,54,699	41
#end{set}
#begin{set}
0.13	47,13,21	67,36,63	4
0.22	69,10,28	89,41,70	6
#end{set}
#begin{set}
0.14	166,4,383	169,62,435	38
0.14	172,4,475	174,67,527	23
#end{set}
#begin{set}
0.14	187,4,592	189,6,632	32
0.14	188,4,612	190,4,652	15
#end{set}
#begin{set}
0.16	112,3,163	131,4,203	39
0.16	186,3,304	205,4,344	39
#end{set}
#begin{set}
0.17	55,10,28	71,30,91	59
0.18	57,10,31	73,30,94	59
0.19	57,10,31	73,30,94	59
#end{set}
#begin{set}
0.17	87,5,112	101,34,170	49
0.18	89,5,147	102,36,205	53
0.19	89,5,147	102,36,205	53
#end{set}
#begin{set}
0.18	104,5,210	105,7,241	26
0.18	109,5,351	110,11,382	26
0.19	104,5,210	105,7,241	26
0.19	109,5,351	110,11,382	26
#end{set}
#begin{set}
0.18	104,5,210	105,9,243	28
0.18	106,5,272	107,9,305	28
0.19	104,5,210	105,9,243	28
0.19	106,5,272	107,9,305	28
#end{set}
#begin{set}
0.18	104,5,210	106,7,272	52
0.18	108,5,320	110,11,382	52
0.19	104,5,210	106,7,272	52
0.19	108,5,320	110,11,382	52
#end{set}
#begin{set}
0.18	104,5,210	106,9,274	54
0.18	105,5,241	107,9,305	54
0.19	104,5,210	106,9,274	54
0.19	105,5,241	107,9,305	54
#end{set}
#begin{set}
0.18	104,81,231	107,7,303	62
